ID,Title,Journal,Year,Cited,Last Updated,Type of survey,Field of application,Site name,Country,Duration (days),# snapshots,Frequency (snapshot/day),ERT layout,Buried,Surface (m),Electrode spacing (m) ,Config Elec,Nb Elec,Resistivimeter
Slater et al. (2000),Resistivity and induced polarization monitoring of salt transport under natural hydraulic gradients,Geophysics,2000,118,6/8/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
Yaramanci (2000),Geoelectric exploration and monitoring in rock salt for the safety assessment of underground waste disposal sites,Journal of Applied Geophysics,2000,52,6/8/2021,Semi-permanent study,Geotechnics,,Germany,210,13,16,2D surface,No,500 m,2,1 line of 249 elec x 2m,249,Syscal
Aaltonen et al. (2001),Seasonal resistivity variations in some different Swedish soils,European Journal of Environmental and Civil Engineering,2001,26,6/8/2021,Laboratory setup,Geotechnics,,Sweden,,,,,,,,,,
Depountis et al. (2001),An assessment of miniaturised electrical imaging equipment to monitor pollution plume evolution in scaled centrifuge modelling,Engineering Geology,2001,28,6/8/2021,,Contaminant monitoring,,UK,,,,,,,,,,
Hauck (2001),Geophysical methods for detecting permafrost in high mountains,Thesis,2001,83,6/9/2021,Regular measurements,Permafrost,,Switzerland,,,,,,,,,,
Hubbard et al. (2001),Hydrogeological characterization of the South Oyster Bacterial Transport Site using geophysical data,Water Resources Research,2001,212,5/26/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
LaBrecque et al. (2001),Difference inversion of ERT data: A fast inversion method for 3-D in situ monitoring,Journal of Environmental and Engineering Geophysics,2001,286,6/8/2021,,Hydrogeology,,USA,,,,,,,,,,
Suzuki et al. (2001),Groundwater flow after heavy rain in landslide-slope area from 2-D inversion of resistivity monitoring data,Geophysics,2001,88,6/8/2021,Semi-permanent study,Landslide,,Japon,42,11,4,2D surface + borehole,Yes,50 m x 15 m,1,1 line x 50 elec  1 borehole x 14 elec,64,?
Aaltonen et al. (2002),Direct current (DC) resistivity measurements in long-term groundwater monitoring programmes,Environmental Geology,2002,32,6/8/2021,Semi-permanent study,Contaminant monitoring,Hogbytorp,Sweden,1460,27,54,2D surface ,Yes,500 m,5,2D line x 100,100,ABEM
Binley et al. (2002),Vadose zone flow model parameterisation using cross-borehole radar and resistivity imaging,Journal of Hydrology,2002,433,6/8/2021,,Hydrogeology,,UK,,,,,,,,,1,
Binley et al. (2002),Seasonal variation of moisture content in unsaturated sandstone inferred from borehole radar and resistivity profiles,Journal of Hydrology,2002,229,6/8/2021,,Hydrogeology,,UK,,,,,,,,,1,
French et al. (2002),Monitoring snowmelt induced unsaturated flow and transport using electrical resistivity tomography,Journal of Hydrology,2002,107,6/8/2021,,Permafrost,,Norvège,,,,,,,,,,
Hauck (2002),Frozen ground monitoring using DC resistivity tomography,Geophysical Research Letters,2002,137,6/8/2021,Semi-permanent study,Permafrost,Schilthorn,Switzerland,365,11,33,2D surface,Yes,58 m ,2,1 line 30 elec x 2 m,30,OYO 
Jackson et al. (2002),Non-invasive moisture monitoring within an earth embankment—a precursor to failure,NDT & International,2002,60,6/8/2021,Semi-permanent study,Geotechnics,,Kenya,480,7,69,2D surface,Yes,40 m,1,1 line of 40 elec buried,40,
Kemna et al. (2002),Imaging and characterisation of subsurface solute transport using electrical resistivity tomography (ERT) and equivalent transport models,Journal of Hydrology,2002,468,5/26/2021,,Contaminant monitoring,,Germany,,,,,,,,,1,
Pellerin (2002),Applications of electrical and electromagnetic methods for environmental and geotechnical investigations,Surveys in Geophysics,2002,187,5/26/2021,,Contaminant monitoring,,France,,,,,,,,,,
Seaton et al. (2002),Evaluation of two-dimensional resistivity methods in a fractured crystalline-rock terrane,Journal of Applied Geophysics,2002,120,6/8/2021,,Hydrogeology,,USA,,,,,,,,,,
Slater et al. (2002),A 3D ERT study of solute transport in a large experimental tank,Journal of Applied Geophysics,2002,198,5/26/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
Stummer et al. (2002),Optimization of dc resistivity data acquisition: Real-time experimental design and a new multielectrode system,IEEE Transactions on Geoscience and Remote Sensing,2002,61,6/8/2021,Semi-permanent synthetic/suggested,Hydrogeology,,Switzerland,1,,#DIV/0!,,,,,,1,
Binley et al. (2003),The performance of electrical methods for assessing the integrity of geomembrane liners in landfill caps and waste storage ponds,Journal of Environmental and Engineering Geophysics,2003,12,5/26/2021,Semi-permanent laboratory,Contaminant monitoring,,UK,,,,,,,,,48,unknown
Descloitres et al. (2003),Study of infiltration in a Sahelian gully erosion area using time-lapse resistivity mapping,Catena,2003,46,6/8/2021,,Hydrogeology,,Burkina Faso,,,,,,,,,1,
Hauck et al. (2003),Evaluation of geophysical techniques for application in mountain permafrost studies,Zeitschrift für Geomorphologie,2003,50,6/9/2021,,Permafrost,,Switzerlandand,,,,,,,,,,
Hauck et al. (2003),Using DC resistivity tomography to detect and characterize mountain permafrost,Geophysical Prospecting,2003,120,6/8/2021,,Permafrost,,Switzerland,,,,,,,,,1,
Michot et al. (2003),Spatial and temporal monitoring of soil water content with an irrigated corn crop cover using surface electrical resistivity tomography,Water Resources Research,2003,377,6/8/2021,,Vegetation,,France,,,,,,,,,1,
Ramirez et al. (2003),Monitoring carbon dioxide floods using electrical resistance tomography (ERT): Sensitivity studies,Journal of Environmental and Engineering Geophysics,2003,66,6/8/2021,,Gas Dynamics,,USA,,,,,,,,,,
Samouelian et al. (2003),Electrical resistivity imaging for detecting soil cracking at the centimetric scale,Soil Science Society of America Journal,2003,148,6/8/2021,,Geotechnics,,France,,,,,,,,,,
Stopinski et al. (2003),Fast-changing dynamic and percolation processes in crushed rocks monitored with electric resistivity measurements,Acta Geophysica Polonica,2003,1,6/8/2021,,Hydrogeology,,Pologne,,,,,,,,,,
Tsourlos et al. (2003),Time-lapse monitoring in single boreholes using electrical resistivity tomography,Journal of Environmental and Engineering Geophysics,2003,36,6/8/2021,Semi-permanent study,Contaminant monitoring,,UK,365,12,30,2D borehole,Yes,10 m,0.5,3 boreholes with 21 elec each,63,
al Hagrey et al. (2004),"Hydro-, bio-geophysics",The Leading Edge,2004,35,6/8/2021,,Vegetation,,Germany,,,,,,,,,1,
Alpak et al. (2004),Joint inversion of transient pressure and dc resistivity measurements acquired with in-situ permanent sensors: A numerical study,Geophysics,2004,28,6/8/2021,Semi-permanent synthetic/suggested,Contaminant monitoring,,USA,,,,,,,,,,
Chambers et al. (2004),Noninvasive monitoring of DNAPL migration through a saturated porous medium using electrical impedance tomography,Journal of Contaminant Hydrology,2004,140,5/27/2021,Laboratory setup,Contaminant monitoring,,UK,,,,,,,,,,
Daily et al. (2004),Remote monitoring of leaks in storage tanks using electrical resistance tomography: application at the Hanford site,Journal of Environmental and Engineering Geophysics,2004,48,5/27/2021,Semi-permanent study,Contaminant monitoring,Hanford Site,USA,110,110,1,3D borehole,Yes,28 x 28,1.5,16 boreholes x 8 elec,128,Zonge
Daily et al. (2004),Low-cost reservoir tomographs of electrical resistivity,The Leading Edge,2004,48,6/8/2021,,Hydrogeology,,USA,,,,,,,,,1,
Daily et al. (2004),Electrical resistance tomography,The Leading Edge,2004,212,6/8/2021,,Hydrogeology,,USA,,,,,,,,,1,
French et al. (2004),Snowmelt infiltration: monitoring temporal and spatial variability using time-lapse electrical resistivity,Journal of Hydrology,2004,137,6/8/2021,Artificial conditions,Permafrost,,Norvège,25,,,,,,,,1,
Guérin et al. (2004),Leachate recirculation: moisture content assessment by means of a geophysical technique,Waste Management,2004,155,5/27/2021,,Contaminant monitoring,,France,,,,,,,,,1,
Labrecque et al. (2004),Autonomous monitoring of fluid movement using 3-D electrical resistivity tomography,Journal of Environmental and Engineering Geophysics,2004,50,6/8/2021,Regular measurements,Contaminant monitoring,,USA,1,,#DIV/0!,2D surface + borehole,Yes,350 m x 70 m,"2,5 to 6",2 surface x 30 elec + 3 boreholes x 30 elec,150,MPT-DAS-1
Osiensky et al. (2004),Borehole cylindrical noise during hole–surface and hole–hole resistivity measurements,Journal of Hydrology,2004,26,6/8/2021,,Contaminant monitoring,,USA,,,,,,,,,,
Rein et al. (2004),Influence of natural time-dependent variations of electrical conductivity on DC resistivity measurements,Journal of Hydrology,2004,96,6/8/2021,Artificial conditions,Hydrogeology,,Germany,15,,,,,,,,1,
Samouelian et al. (2004),Three‐dimensional crack monitoring by electrical resistivity measurement,European Journal of Soil Science,2004,75,6/8/2021,,Geotechnics,,France,,,,,,,,,,
Depountis et al. (2005),Application of electrical imaging to leachate plume evolution studies under in-situ and model conditions,Environmental Geology,2005,26,6/8/2021,Laboratory setup,Contaminant monitoring,,UK,,,,,,,,,,
Lebourg et al. (2005),Geophysical survey to estimate the 3D sliding surface and the 4D evolution of the water pressure on part of a deep seated landslide,Terra Nova,2005,114,6/8/2021,Regular measurements,Landslide,La Clapière ,France,1,,#DIV/0!,2D surface,No,96 m,2,1 line x 48 elec,48,Syscal
Maillet et al. (2005),High resolution Electrical Resistivity Tomography (ERT) in a transition zone environment: Application for detailed internal architecture and infilling processes study of a Rhône River paleo-channel,Marine Geophysical Research,2005,86,6/8/2021,,Hydrogeology,,France,,,,,,,,,,
Ramirez et al. (2005),"Stochastic Inversion of Electrical Resistivity Changes Using a Markov Chain, Monte Carlo Approach", Journal of Geophysical Research: Solid Earth,2005,91,5/27/2021,Semi-permanent synthetic/suggested,Contaminant monitoring,Hanford Site,USA,1,,#DIV/0!,3D borehole,Yes,28 x 28,1.5,16 boreholes x 8 elec,128,Zonge
Samouelian et al. (2005),Electrical resistivity survey in soil science: a review,Soil and Tillage Research,2005,1012,6/8/2021,,Hydrogeology,,France,,,,,,,,,1,
Singha et al. (2005),Saline tracer visualized with three‐dimensional electrical resistivity tomography: Field‐scale spatial moment analysis,Water Resources Research,2005,281,5/26/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
Verborght et al. (2005),Potential of electrical resistivity tomography to infer aquifer transport characteristics from tracer studies: A synthetic case study,Water Resources Research,2005,128,5/27/2021,,Contaminant monitoring,,Germany,,,,,,,,,1,
Acworth et al. (2006),Integration of multi-channel piezometry  electrical tomography to better define chemical heterogeneity in a landfill leachate plume within a s aquifer,Journal of Contaminant Hydrology,2006,53,6/8/2021,,Contaminant monitoring,,Australia,,,,,,,,,1,
al Hagrey et al. (2006),Electrical resistivity imaging of tree trunks,Near Surface Geophysics,2006,61,6/8/2021,,Vegetation,,USA,,,,,,,,,,
Auken et al. (2006),A survey of current trends in near-surface electrical and electromagnetic methods,Geophysics,2006,177,6/8/2021,Review article,Hydrogeology,,UK,1,,#DIV/0!,2D surface,No,,,,16,ABEM
Cassiani et al. (2006),A saline trace test monitored via time-lapse surface electrical resistivity tomography,Journal of Applied Geophysics,2006,253,5/26/2021,,Contaminant monitoring,,Italy,,,,,,,,,1,
Friedel et al. (2006),Investigation of a slope endangered by rainfall-induced landslides using 3D resistivity tomography and geotechnical testing,Journal of Applied Geophysics,2006,169,6/8/2021,Regular measurements,Landslide,Toessegg ,Switzerland,336,2,168,3D surface,No,24.5,0.5,17 lines x 50 elec,50,GeoTom-MK1E100
Gibert et al. (2006),"Electrical tomography monitoring of the excavation damaged zone of the Gallery 04 in the Mont Terri rock laboratory: Field experiments, modelling, and relationship with structural geology",Applied Clay Science,2006,45,6/8/2021,Semi-permanent study,Geotechnics,Mont Terri URL,France,180,4,45,2D surface + rings in gallery,No,5 x 5 x 20,0.5,1 2D line x 17 elec + 3 rings x 32 elec,110,ABEM
Jackson et al. (2006),Electrical resistivity monitoring of a collapsing meta-stable soil,Quarterly Journal of Engineering Geology and Hydrogeology,2006,18,6/8/2021,Artificial conditions,Geotechnics,Ospringe,UK,10,50,0,,,,,,1,
Kuras et al. (2006),"Monitoring coastal aquifers with Automated time-Lapse Electrical Resistivity Tomography (ALERT): Initial results from the arax delta, SE Spain",,2006,0,6/8/2021,Semi-permanent study,Saline intrusion,arax delta,Espagne,270,3,90,2D surface ,Yes,2800,20,2D line x 140 elec,140,ALERT
Leroux et al. (2006),Time-lapse resistivity investigations for imaging saltwater transport in glaciofluvial deposits,Environmental Geology,2006,52,6/8/2021,,Contaminant monitoring,,Switzerland,,,,,,,,,,
Oldenborger (2006),"Advances in electrical resistivity tomography: Modeling, electrode position errors, time-lapse monitoring of an injection /withdrawal experiment, and solution appraisal",Thesis,2006,4,6/8/2021,Artificial conditions,Contaminant monitoring,Boise Hydrogeophysical Research Site,USA,7,,#DIV/0!,,,,,,1,
Singha et al. (2006),Accounting for spatially variable resolution in electrical resistivity tomography through field-scale rock-physics relations,Geophysics,2006,47,6/8/2021,,Hydrogeology,,USA,,,,,,,,,,
Singha et al. (2006),Effects of spatially variable resolution on field-scale estimates of tracer concentration from electrical inversions using Archie's law,Geophysics,2006,91,5/27/2021,,Contaminant monitoring,,USA,,,,,,,,,,
Slater et al. (2006),Synthetic and field-based electrical imaging of a zerovalent iron barrier: Implications for monitoring long-term barrier performance,Geophysics,2006,75,6/8/2021,Semi-permanent synthetic/suggested,Contaminant monitoring,Kansas City PRB site,USA,,,,,,,,,,
Winship et al. (2006),Flow and transport in the unsaturated Sherwood sandstone: characterization using cross-borehole geophysical methods,"Geological Society, London",2006,43,6/8/2021,Artificial conditions,Contaminant monitoring,,UK,,,,,,,,,,
Zume et al. (2006),"Subsurface imaging of an aboned solid waste landfill site in Norman, Oklahoma",Groundwater Monitoring and Remediation,2006,53,5/27/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
al Hagrey et al. (2007),"Geophysical imaging of root-zone, trunk, and moisture heterogeneity",Journal of Experimental Botany,2007,242,6/8/2021,,Vegetation,,Germany,,,,,,,,,1,
Amidu et al. (2007),Geoelectric studies of seasonal wetting and drying of a Texas Vertisol,Vadose Zone Journal,2007,78,6/25/2021,Semi-permanent study,Hydrogeology,,USA,365,32,11,2d surface,,,,6 lines x 2 elec,12,AGI SuperSting
Hayley et al. (2007),Low temperature dependence of electrical resistivity: Implications for near surface geophysical monitoring,Geophysical Research Letters,2007,213,6/8/2021,,Permafrost,,Canada,,,,,,,,,1,
Imhoff et al. (2007),Review of state of the art methods for measuring water in landfills,Waste Management,2007,132,5/27/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
Jinguuji et al. (2007),Visualization technique for liquefaction process in chamber experiments by using electrical resistivity monitoring,Soil Dynamics and Earthquake Engineering,2007,29,6/8/2021,Laboratory setup,Geotechnics,,Japon,,,,,,,,,,
Jomard et al. (2007),Characterization of an internal slope movement structure by hydrogeophysical surveying.,Terra Nova,2007,47,6/8/2021,Artificial conditions,Landslide,La Clapière ,France,2,14,7,2D surface,No,141,3,48,48,Syscal
Krautblatter et al. (2007),Electrical resistivity tomography monitoring of permafrost in solid rock walls,Journal of Geophysical Research : Earth Surface,2007,105,6/8/2021,Semi-permanent study,Permafrost,,Switzerland,60,4,15,2D surface,No,60,1.5,1 line x 41 elec,41,ABEM
Nimmer et al. (2007),Electrical resistivity imaging of conductive plume dilution in fractured rock,Hydrogeology Journal,2007,45,6/8/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
Oldenborger et al. (2007),Time-lapse ERT monitoring of an injection/withdrawal experiment in a shallow unconfined aquifer,Geophysics,2007,139,5/27/2021,Semi-permanent synthetic/suggested,Contaminant monitoring,,USA,1,,#DIV/0!,,,,,,1,
Oldenborger et al. (2007),Model reliability for 3D electrical resistivity tomography: Application of the volume of investigation index to a time-lapse monitoring experiment,Geophysics,2007,65,6/8/2021,,Contaminant monitoring,,USA,,,,,,,,,,
Radulescu et al. (2007),Time-lapse electrical resistivity anomalies due to contaminant transport around landfills,Annals of Geophysics,2007,31,5/27/2021,,Contaminant monitoring,,Canada,,,,,,,,,,
Saba et al. (2007),"Development of geothermal field following the 2000 eruption of Usu volcano as revealed by ground temperature, resistivity and self-potential variations",Annals of Geophysics,2007,20,5/26/2021,,Volcanology,,Japon,,,,,,,,,,
Slater (2007),Near surface electrical characterization of hydraulic conductivity: From petrophysical properties to aquifer geometries—A review,Surveys in geophysics,2007,280,6/8/2021,,Hydrogeology,,USA,,,,,,,,,1,
Slater et al. (2007),Resistivity‐based monitoring of biogenic gases in peat soils,Water Resources Research,2007,39,6/8/2021,Semi-permanent study,Hydrogeology,,USA,48,48,1,3D borehole,No,"0,3 m x 0,20 m",0.01,5 boreholes x 20 elec,100,Syscal
Chambers et al. (2008),Non-invasive time-lapse imaging of moisture content changes in earth embankments using electrical resistivity tomography (ERT),Advances in Transportation Geotechnics,2008,26,6/8/2021,Semi-permanent study,Geotechnics,Great Central Railway Nottingham,UK,480,480,1,2D surface,No,30,1,1 x 32,32,ALERT
Day-Lewis et al. (2008),Geoelectrical inference of mass transfer parameters: theoretical basis and numerical experiments,Water Resources Research,2008,53,6/8/2021,Laboratory setup,Contaminant monitoring,,USA,,,,,,,,,,
Deiana et al. (2008),Calibration of a vadose zone model using water injection monitored by GPR and electrical resistance tomography,Vadose Zone Journal,2008,69,6/8/2021,Artificial conditions,Hydrogeology,Gorgonzola site,Italy,1,,#DIV/0!,2D surface + borehole,Yes,"6,7 x 6",0.8,2 boreholes x 24 elec  1 line x 8 elec,48,Syscal
Descloitres et al. (2008),Characterization of seasonal local recharge using electrical resistivity tomography and magnetic resonance sounding,Hydrological Processes,2008,123,6/8/2021,,Hydrogeology,,Inde,,,,,,,,,1,
Fortier et al. (2008),"Internal structure and conditions of permafrost mounds at Umiujaq in Nunavik, Canada, inferred from field investigation and electrical resistivity tomography",Canadian Journal of Earth Science,2008,71,6/8/2021,Semi-permanent synthetic/suggested,Permafrost,,Canada,,,,2D surface,No,,0.5,1 line x ,1,Syscal
Garcia-Montiel et al. (2008),Estimating seasonal changes in volumetric soil water content at lscape scales in a savanna ecosystem using two-dimensional resistivity profiling,Earth Interactions,2008,21,6/8/2021,Regular measurements,Hydrogeology,,Brésil,,,,,,,,,,
Grellier et al. (2008),Monitoring of leachate recirculation in a bioreactor landfill by 2-D electrical resistivity imaging,Journal of Environmental and Engineering Geophysics,2008,69,6/8/2021,,Contaminant monitoring,,France,,,,,,,,,1,
Hilbich et al. (2008),"Monitoring mountain permafrost evolution using electrical resistivity tomography: A seven year study of seasonal, annual and long-term variations at Schilthorn, Swiss Alps",Journal of Geophysical Research,2008,139,6/8/2021,Semi-permanent study,Permafrost,Schilthorn,Switzerland,2555,110,23,2D surface,Yes,58 m ,2,1 line 30 elec x 2 m,30,Syscal
Jayawickreme et al. (2008),"Subsurface imaging of vegetation, climate, and root-zone moisture interactions",Geophysical Research Letters,2008,97,6/9/2021,Semi-permanent study,Vegetation,,USA,300,17,18,2D surface,No,125,1.5,1 line of 84 elec,84,
Kneisel et al. (2008),Advances in Geophysical Methods for Permafrost Investigations,Permafrost and Periglacial Processes,2008,228,6/8/2021,Review article,Permafrost,,Switzerland,1,,#DIV/0!,,,,,,1,
Koestel et al. (2008),Quantitative imaging of solute transport in an unsaturated and undisturbed soil monolith with 3-D ERT and TDR,Water Resources Research,2008,171,5/27/2021,,Contaminant monitoring,,Germany,,,,,,,,,1,
Liu et al. (2008),Laboratorial monitoring of the LNAPL contamination process using electrical resistivity tomography,Chinese Journal of Geophysics,2008,14,5/27/2021,Laboratory setup,Contaminant monitoring,,China,,,,,,,,,,
Looms et al. (2008),Monitoring unsaturated flow and transport using cross-borehole geophysical methods,Vadose Zone Journal,2008,140,5/27/2021,,Contaminant monitoring,,Danemark,,,,,,,,,,
Miller et al. (2008),Application of time-lapse ERT imaging to watershed characterization,Geophysics,2008,189,6/10/2021,Regular measurements,Hydrogeology,Dry Creek Watershed,USA,700,4,0,2D surface,No,144,2,72,72,Syscal
Pollock et al. (2008),Temporal moments in geoelectrical monitoring of salt tracer experiments,Water Resources Research,2008,40,6/10/2021,Laboratory setup,Contaminant monitoring,,Switzerland,,,,,,,,,,
Robinson et al. (2008),Soil moisture measurement for ecological and hydrological watershed-scale observatories: A review,Vadose Zone Journal,2008,821,6/10/2021,,Hydrogeology,,USA,,,,,,,,,,
Schwartz et al. (2008),Quantifying field-scale soil moisture using electrical resistivity imaging,Journal of Hydrology,2008,124,6/10/2021,Regular measurements,Hydrogeology,,USA,1,,#DIV/0!,,,,,,1,
Singha et al. (2008),Electrical characterization of non‐Fickian transport in groundwater and hyporheic systems,Water Resources Research,2008,47,6/10/2021,,Hydrogeology,,USA,,,,,,,,,,
Sjodahl et al. (2008),Resistivity monitoring for leakage and internal erosion detection at Hällby embankment dam,Journal of Applied Geophysics,2008,136,6/8/2021,Semi-permanent study,Geotechnics,Halby,Sweden,2920,2920,1,2D surface,No,700 m in total,7,5 lines  (43 elec + 21 + 38),102,ABEM
Supper et al. (2008),A complex geo-scientific strategy for landslide hazard mitigation from airborne mapping to ground monitoring,Advances in Geosciences,2008,45,6/8/2021,Semi-permanent study,Landslide,Rindberg,Austria,210,210,1,2D surface,No,172,9,1 line x 20 elec,20,GEOMON 4D
Versteeg et al. (2008),Using time-lapse electrical geophysics to monitor subsurface processes,The Leading Edge,2008,19,6/10/2021,Semi-permanent study,Contaminant monitoring,Brywine,USA,150,75,2,3D surface + borehole,Yes,20 x 20 x 16,1,7 boreholes x 15 + 3 surface lines,165,AGI SuperSting
Werban et al. (2008),Monitoring of root-zone water content in the laboratory by 2D geoelectrical tomography,Journal of Plant Nutrition and Soil Science,2008,66,6/9/2021,Laboratory setup,Vegetation,,Germany,,,,,,,,,1,
Zenone et al. (2008),Preliminary use of ground-penetrating radar and electrical resistivity tomography to study tree roots in pine forests and poplar plantations,Functional Plant Biology,2008,115,6/9/2021,,Vegetation,,Italy,,,,,,,,,1,
Cassiani et al. (2009),Monitoring the hydrologic behaviour of a mountain slope via time‐lapse electrical resistivity tomography,Near Surface Geophysics,2009,74,6/26/2021,Artificial conditions,Hydrogeology,,Italy,,,,,,,,,,
Clément et al. (2009),Influence of shallow infiltration on time-lapse ERT: Experience of advanced interpretation,Comptes Rendus Geoscience,2009,62,6/10/2021,,Hydrogeology,,Burkina Faso,,,,,,,,,1,
Damasceno et al. (2009),Development and validation of a low-cost electrical resistivity tomographer for soil process monitoring,Canadian Geotechnical Journal,2009,15,6/10/2021,Laboratory setup,Hydrogeology,,USA,,,,,,,,,,
De Franco et al. (2009),"Monitoring the saltwater intrusion by time lapse electrical resistivity tomography: The Chioggia test site (Venice Lagoon, Italy)",Journal of Applied Geophysics,2009,165,5/28/2021,Semi-permanent study,Saline intrusion,,Italy,300,1500,0,2D surface,No,300,"5  2,5",1 line x 61 elec + 1 line x 40 elec,81,Mongoose GET2
Giese et al. (2009),"Monitoring at the CO2 SINK site: A concept integrating geophysics, geochemistry  microbiology",Energy Procedia,2009,134,6/10/2021,,Gas Dynamics,,Germany,,,,,,,,,,
Grandjean et al. (2009),Monitoring water flow in a clay-shale hillslope from geophysical data fusion based on a fuzzy logic approach,Geoscience,2009,23,6/8/2021,Artificial conditions,Landslide,Laval ,France,2.8,32,11,2D surface,No,47,1,48,48,?
Hayley et al. (2009),Time-lapse electrical resistivity monitoring of salt-affected soil and groundwater,Water Resources Research,2009,63,6/10/2021,,Contaminant monitoring,,Canada,,,,,,,,,1,
